timesteps,episode_reward,episode_length
29350,-2.415171,50
29400,-2.337503,50
29450,-2.385885,50
29500,-2.55055,50
29550,-2.419213,50
29600,-3.888867,50
29650,-3.2337,50
29700,-3.795556,50
29750,-2.237077,50
29800,-3.563452,50
29850,-2.183009,50
29900,-2.63962,50
29950,-2.552858,50
30000,-2.289888,50
30050,-2.50154,50
30100,-3.385375,50
30150,-3.124548,50
30200,-2.08112,50
30250,-2.693319,50
30300,-2.240521,50
30350,-2.312531,50
30400,-2.656226,50
30450,-3.485049,50
30500,-3.10968,50
30550,-2.79591,50
30600,-2.823338,50
30650,-2.111592,50
30700,-2.769666,50
30750,-3.628109,50
30800,-2.133578,50
30850,-2.717265,50
30900,-2.045011,50
30950,-3.044629,50
31000,-2.13436,50
31050,-2.566823,50
31100,-2.0605,50
31150,-2.351265,50
31200,-2.026824,50
31250,-2.267859,50
31300,-1.870765,50
31350,-2.352138,50
31400,-2.845325,50
31450,-1.944856,50
31500,-2.821689,50
31550,-2.181796,50
31600,-2.712083,50
31650,-2.551219,50
31700,-2.616612,50
31750,-3.1321,50
31800,-2.510874,50
31850,-2.592558,50
31900,-2.725469,50
31950,-3.375451,50
32000,-2.265198,50
32050,-2.473827,50
32100,-2.142704,50
32150,-3.267249,50
32200,-2.525211,50
32250,-2.338963,50
32300,-2.728983,50
32350,-2.049592,50
32400,-2.065747,50
32450,-2.889926,50
32500,-2.789808,50
32550,-2.847473,50
32600,-3.340159,50
32650,-3.779158,50
32700,-3.138793,50
32750,-2.987295,50
32800,-2.725249,50
32850,-2.416941,50
32900,-2.151532,50
32950,-2.352551,50
33000,-2.125988,50
33050,-2.714029,50
33100,-2.901569,50
33150,-3.653019,50
33200,-3.212504,50
33250,-2.512464,50
33300,-3.011346,50
33350,-2.710536,50
33400,-3.088304,50
33450,-2.199409,50
33500,-2.144559,50
33550,-2.834517,50
33600,-2.638292,50
33650,-2.057996,50
33700,-2.340164,50
33750,-3.277289,50
33800,-2.428144,50
33850,-2.283021,50
33900,-2.485865,50
33950,-2.142143,50
34000,-2.924026,50
34050,-3.134766,50
34100,-3.082472,50
34150,-2.907814,50
34200,-3.269403,50
34250,-3.213535,50
34300,-2.407794,50
34350,-3.256386,50
34400,-2.300619,50
34450,-2.627261,50
34500,-2.298602,50
34550,-2.912905,50
34600,-2.818243,50
34650,-3.03595,50
34700,-2.80659,50
34750,-2.14917,50
34800,-2.812179,50
34850,-2.318541,50
34900,-2.263802,50
34950,-2.313926,50
35000,-1.893944,50
35050,-2.124854,50
35100,-3.059835,50
35150,-3.522382,50
35200,-2.050303,50
35250,-3.408084,50
35300,-2.30382,50
35350,-3.320702,50
35400,-2.294295,50
35450,-4.101379,50
35500,-1.961263,50
35550,-1.915526,50
35600,-2.636447,50
35650,-2.03491,50
35700,-2.592784,50
35750,-2.087432,50
35800,-2.20443,50
35850,-3.02794,50
35900,-2.582589,50
35950,-2.784481,50
36000,-4.164914,50
36050,-3.432155,50
36100,-2.134672,50
36150,-2.748602,50
36200,-2.826139,50
36250,-2.566412,50
36300,-2.145335,50
36350,-3.321322,50
36400,-2.317178,50
36450,-3.052396,50
36500,-1.918119,50
36550,-2.650101,50
36600,-1.953643,50
36650,-2.394444,50
36700,-1.797128,50
36750,-2.032237,50
36800,-1.822599,50
36850,-1.912734,50
36900,-1.949663,50
36950,-1.718514,50
37000,-2.357488,50
37050,-2.38848,50
37100,-1.733467,50
37150,-1.8081,50
37200,-1.864723,50
37250,-2.688262,50
37300,-1.763616,50
37350,-1.735558,50
37400,-2.512942,50
37450,-1.984904,50
37500,-1.963986,50
37550,-1.550138,50
37600,-2.082806,50
37650,-2.805562,50
37700,-1.245791,50
37750,-1.398225,50
37800,-1.278972,50
37850,-1.398135,50
37900,-1.915731,50
37950,-2.22827,50
38000,-0.96382,50
38050,-1.595097,50
38100,-2.148282,50
38150,-1.745964,50
38200,-2.236186,50
38250,-2.372388,50
38300,-2.124066,50
38350,-1.435862,50
38400,-2.347403,50
38450,-1.703936,50
38500,-1.664139,50
38550,-1.664863,50
38600,-1.971803,50
38650,-2.256161,50
38700,-1.544352,50
38750,-1.583272,50
38800,-1.910882,50
38850,-1.795911,50
38900,-1.536153,50
38950,-1.919396,50
39000,-2.300036,50
39050,-1.754469,50
39100,-2.047006,50
39150,-1.609207,50
39200,-2.511439,50
39250,-2.311508,50
39300,-2.169844,50
39350,-2.524469,50
39400,-1.895969,50
39450,-1.873749,50
39500,-2.513709,50
39550,-2.083004,50
39600,-2.437846,50
39650,-2.200333,50
39700,-3.155718,50
39750,-2.057403,50
39800,-1.918197,50
39850,-2.126759,50
39900,-2.590846,50
39950,-2.0771,50
40000,-1.894044,50
40050,-2.284696,50
40100,-2.018147,50
40150,-2.678667,50
40200,-2.030403,50
40250,-2.61001,50
40300,-2.484257,50
40350,-1.827615,50
40400,-2.216184,50
40450,-2.815822,50
40500,-2.088186,50
40550,-1.750404,50
40600,-2.434248,50
40650,-2.155792,50
40700,-2.514416,50
40750,-2.166222,50
40800,-1.814572,50
40850,-2.663929,50
40900,-2.450758,50
40950,-2.571067,50
41000,-2.156928,50
41050,-2.43193,50
41100,-2.291801,50
41150,-1.755203,50
41200,-2.299936,50
41250,-2.139162,50
41300,-2.4698,50
41350,-2.072418,50
41400,-2.026699,50
41450,-1.85925,50
41500,-1.663648,50
41550,-2.948864,50
41600,-2.085945,50
41650,-2.400892,50
41700,-2.377976,50
41750,-2.252782,50
41800,-2.916548,50
41850,-2.043963,50
41900,-1.83929,50
41950,-2.737812,50
42000,-2.291567,50
42050,-1.617427,50
42100,-1.888743,50
42150,-2.205524,50
42200,-1.654351,50
42250,-1.703606,50
42300,-1.347144,50
42350,-1.866523,50
42400,-1.764486,50
42450,-1.481721,50
42500,-2.092336,50
42550,-1.394102,50
42600,-1.442627,50
42650,-1.574538,50
42700,-1.350297,50
42750,-1.374248,50
42800,-2.016894,50
42850,-1.138064,50
42900,-1.832925,50
42950,-1.75005,50
43000,-1.185904,50
43050,-1.3938,50
43100,-0.773705,50
43150,-1.521011,50
43200,-2.123888,50
43250,-0.783006,50
43300,-1.031077,50
43350,-0.878423,50
43400,-0.679506,50
43450,-1.981854,50
43500,-1.3424,50
43550,-1.510993,50
43600,-0.801602,50
43650,-1.431468,50
43700,-1.395173,50
43750,-2.548062,50
43800,-2.327475,50
43850,-1.110341,50
43900,-1.441132,50
43950,-1.369422,50
44000,-1.514871,50
44050,-1.091609,50
44100,-1.336581,50
44150,-1.063868,50
44200,-1.464894,50
44250,-0.806812,50
44300,-1.485571,50
44350,-1.255301,50
44400,-2.535965,50
44450,-1.640881,50
44500,-1.724444,50
44550,-1.787196,50
44600,-2.392842,50
44650,-1.111329,50
44700,-1.117868,50
44750,-1.561388,50
44800,-2.209632,50
44850,-1.210808,50
44900,-1.441265,50
44950,-1.139508,50
45000,-0.97292,50
45050,-1.725635,50
45100,-1.016735,50
45150,-1.09043,50
45200,-2.070762,50
45250,-2.397791,50
45300,-2.343553,50
45350,-1.586268,50
45400,-1.93391,50
45450,-1.947969,50
45500,-1.391161,50
45550,-1.707266,50
45600,-1.982074,50
45650,-0.983575,50
45700,-1.250353,50
45750,-1.752695,50
45800,-1.888021,50
45850,-1.104628,50
45900,-1.007957,50
45950,-1.844548,50
46000,-2.187449,50
46050,-1.782392,50
46100,-1.58061,50
46150,-0.892643,50
46200,-1.196745,50
46250,-1.860647,50
46300,-1.675281,50
46350,-2.364149,50
46400,-2.862402,50
46450,-1.851594,50
46500,-2.333529,50
46550,-2.637284,50
46600,-1.110272,50
46650,-0.949525,50
46700,-1.333697,50
46750,-1.658644,50
46800,-2.371033,50
46850,-2.294673,50
46900,-1.827816,50
46950,-2.494694,50
47000,-3.319586,50
47050,-1.174868,50
47100,-3.280088,50
47150,-1.220053,50
47200,-2.374584,50
47250,-0.897895,50
47300,-1.009448,50
47350,-1.694426,50
47400,-3.265721,50
47450,-2.707391,50
47500,-2.160852,50
47550,-2.432938,50
47600,-3.322736,50
47650,-3.412818,50
47700,-2.321114,50
47750,-3.319078,50
47800,-3.214321,50
47850,-3.385352,50
47900,-2.414604,50
47950,-2.434487,50
48000,-0.931604,50
48050,-1.628167,50
48100,-2.263501,50
48150,-3.133417,50
48200,-1.345885,50
48250,-1.10649,50
48300,-2.858959,50
48350,-1.676581,50
48400,-3.561262,50
48450,-2.128768,50
48500,-1.642072,50
48550,-3.196318,50
48600,-1.552808,50
48650,-1.251137,50
48700,-3.625706,50
48750,-2.894433,50
48800,-2.454468,50
48850,-2.103912,50
48900,-2.423876,50
48950,-2.148342,50
49000,-1.916541,50
49050,-2.964068,50
49100,-2.082975,50
49150,-1.931756,50
49200,-3.146788,50
49250,-2.786595,50
49300,-2.220975,50
49350,-2.024826,50
49400,-4.3792,50
49450,-1.576311,50
49500,-3.43802,50
49550,-2.801512,50
49600,-1.417576,50
49650,-3.74788,50
49700,-1.805577,50
49750,-1.154617,50
49800,-2.420827,50
49850,-2.468639,50
49900,-3.430491,50
49950,-1.245771,50
50000,-2.020443,50
