timesteps,episode_reward,episode_length,is_success
33700,-1.0,50,1.0
33750,-1.0,50,1.0
33800,-1.0,50,1.0
33850,-2.0,50,1.0
33900,-3.0,50,1.0
33950,-1.0,50,1.0
34000,-1.0,50,1.0
34050,-3.0,50,1.0
34100,-1.0,50,1.0
34150,-3.0,50,1.0
34200,-2.0,50,1.0
34250,-2.0,50,1.0
34300,-3.0,50,1.0
34350,-2.0,50,1.0
34400,-2.0,50,1.0
34450,-3.0,50,1.0
34500,-1.0,50,1.0
34550,-1.0,50,1.0
34600,-2.0,50,1.0
34650,0.0,50,1.0
34700,-1.0,50,1.0
34750,-2.0,50,1.0
34800,-2.0,50,1.0
34850,-1.0,50,1.0
34900,-3.0,50,1.0
34950,-2.0,50,1.0
35000,-3.0,50,1.0
35050,-1.0,50,1.0
35100,-3.0,50,1.0
35150,-2.0,50,1.0
35200,-2.0,50,1.0
35250,-1.0,50,1.0
35300,-2.0,50,1.0
35350,-3.0,50,1.0
35400,-2.0,50,1.0
35450,-1.0,50,1.0
35500,-2.0,50,1.0
35550,-2.0,50,1.0
35600,-2.0,50,1.0
35650,-3.0,50,1.0
35700,-2.0,50,1.0
35750,-2.0,50,1.0
35800,-2.0,50,1.0
35850,0.0,50,1.0
35900,-3.0,50,1.0
35950,-1.0,50,1.0
36000,-2.0,50,1.0
36050,-2.0,50,1.0
36100,-3.0,50,1.0
36150,-1.0,50,1.0
36200,-2.0,50,1.0
36250,0.0,50,1.0
36300,-2.0,50,1.0
36350,-2.0,50,1.0
36400,-2.0,50,1.0
36450,-1.0,50,1.0
36500,-2.0,50,1.0
36550,-5.0,50,1.0
36600,-5.0,50,1.0
36650,-2.0,50,1.0
36700,-3.0,50,1.0
36750,-2.0,50,1.0
36800,-3.0,50,1.0
36850,-1.0,50,1.0
36900,-2.0,50,1.0
36950,0.0,50,1.0
37000,-1.0,50,1.0
37050,-1.0,50,1.0
37100,-1.0,50,1.0
37150,-1.0,50,1.0
37200,0.0,50,1.0
37250,-3.0,50,1.0
37300,-2.0,50,1.0
37350,-2.0,50,1.0
37400,-2.0,50,1.0
37450,-1.0,50,1.0
37500,-2.0,50,1.0
37550,-2.0,50,1.0
37600,-2.0,50,1.0
37650,-2.0,50,1.0
37700,-2.0,50,1.0
37750,0.0,50,1.0
37800,-1.0,50,1.0
37850,0.0,50,1.0
37900,-1.0,50,1.0
37950,-3.0,50,1.0
38000,-2.0,50,1.0
38050,-1.0,50,1.0
38100,-1.0,50,1.0
38150,-2.0,50,1.0
38200,-2.0,50,1.0
38250,-3.0,50,1.0
38300,-3.0,50,1.0
38350,-1.0,50,1.0
38400,-3.0,50,1.0
38450,0.0,50,1.0
38500,0.0,50,1.0
38550,-3.0,50,1.0
38600,-1.0,50,1.0
38650,-1.0,50,1.0
38700,-3.0,50,1.0
38750,-1.0,50,1.0
38800,-2.0,50,1.0
